Time,Production_Output,User_Experience,Accessibility,Usability_Criterion
1,0.1,0.1,0.1,0.10000000000000002
2,0.10808080808080808,0.10808080808080808,0.10808080808080808,0.10808080808080807
3,0.11616161616161616,0.11616161616161616,0.11616161616161616,0.11616161616161617
4,0.12424242424242425,0.12424242424242425,0.12424242424242425,0.12424242424242425
5,0.13232323232323234,0.13232323232323234,0.13232323232323234,0.13232323232323234
6,0.14040404040404042,0.14040404040404042,0.14040404040404042,0.14040404040404042
7,0.1484848484848485,0.1484848484848485,0.1484848484848485,0.1484848484848485
8,0.15656565656565657,0.15656565656565657,0.15656565656565657,0.15656565656565657
9,0.16464646464646465,0.16464646464646465,0.16464646464646465,0.16464646464646465
10,0.17272727272727273,0.17272727272727273,0.17272727272727273,0.17272727272727273
11,0.1808080808080808,0.1808080808080808,0.1808080808080808,0.18080808080808083
12,0.18888888888888888,0.18888888888888888,0.18888888888888888,0.18888888888888888
13,0.19696969696969696,0.19696969696969696,0.19696969696969696,0.19696969696969693
14,0.20505050505050504,0.20505050505050504,0.20505050505050504,0.20505050505050504
15,0.21313131313131314,0.21313131313131314,0.21313131313131314,0.21313131313131314
16,0.22121212121212122,0.22121212121212122,0.22121212121212122,0.22121212121212122
17,0.2292929292929293,0.2292929292929293,0.2292929292929293,0.2292929292929293
18,0.23737373737373738,0.23737373737373738,0.23737373737373738,0.23737373737373738
19,0.24545454545454545,0.24545454545454545,0.24545454545454545,0.24545454545454545
20,0.2535353535353535,0.2535353535353535,0.2535353535353535,0.2535353535353535
21,0.26161616161616164,0.26161616161616164,0.26161616161616164,0.26161616161616164
22,0.2696969696969697,0.2696969696969697,0.2696969696969697,0.2696969696969697
23,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778
24,0.28585858585858587,0.28585858585858587,0.28585858585858587,0.28585858585858587
25,0.29393939393939394,0.29393939393939394,0.29393939393939394,0.29393939393939394
26,0.302020202020202,0.302020202020202,0.302020202020202,0.302020202020202
27,0.3101010101010101,0.3101010101010101,0.3101010101010101,0.3101010101010101
28,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182
29,0.32626262626262625,0.32626262626262625,0.32626262626262625,0.32626262626262625
30,0.3343434343434344,0.3343434343434344,0.3343434343434344,0.3343434343434344
31,0.3424242424242424,0.3424242424242424,0.3424242424242424,0.34242424242424246
32,0.35050505050505054,0.35050505050505054,0.35050505050505054,0.3505050505050506
33,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
34,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667
35,0.3747474747474747,0.3747474747474747,0.3747474747474747,0.37474747474747466
36,0.38282828282828285,0.38282828282828285,0.38282828282828285,0.3828282828282828
37,0.3909090909090909,0.3909090909090909,0.3909090909090909,0.3909090909090909
38,0.398989898989899,0.398989898989899,0.398989898989899,0.398989898989899
39,0.407070707070707,0.407070707070707,0.407070707070707,0.4070707070707071
40,0.41515151515151516,0.41515151515151516,0.41515151515151516,0.4151515151515152
41,0.4232323232323232,0.4232323232323232,0.4232323232323232,0.4232323232323232
42,0.4313131313131313,0.4313131313131313,0.4313131313131313,0.4313131313131313
43,0.43939393939393945,0.43939393939393945,0.43939393939393945,0.43939393939393945
44,0.44747474747474747,0.44747474747474747,0.44747474747474747,0.4474747474747474
45,0.4555555555555556,0.4555555555555556,0.4555555555555556,0.45555555555555555
46,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636
47,0.47171717171717176,0.47171717171717176,0.47171717171717176,0.47171717171717176
48,0.4797979797979798,0.4797979797979798,0.4797979797979798,0.47979797979797983
49,0.4878787878787879,0.4878787878787879,0.4878787878787879,0.48787878787878797
50,0.49595959595959593,0.49595959595959593,0.49595959595959593,0.49595959595959593
51,0.5040404040404041,0.5040404040404041,0.5040404040404041,0.5040404040404041
52,0.5121212121212121,0.5121212121212121,0.5121212121212121,0.5121212121212121
53,0.5202020202020202,0.5202020202020202,0.5202020202020202,0.5202020202020202
54,0.5282828282828282,0.5282828282828282,0.5282828282828282,0.5282828282828282
55,0.5363636363636364,0.5363636363636364,0.5363636363636364,0.5363636363636364
56,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.5444444444444444
57,0.5525252525252525,0.5525252525252525,0.5525252525252525,0.5525252525252525
58,0.5606060606060607,0.5606060606060607,0.5606060606060607,0.5606060606060607
59,0.5686868686868687,0.5686868686868687,0.5686868686868687,0.5686868686868687
60,0.5767676767676768,0.5767676767676768,0.5767676767676768,0.5767676767676768
61,0.5848484848484848,0.5848484848484848,0.5848484848484848,0.5848484848484848
62,0.592929292929293,0.592929292929293,0.592929292929293,0.592929292929293
63,0.601010101010101,0.601010101010101,0.601010101010101,0.601010101010101
64,0.609090909090909,0.609090909090909,0.609090909090909,0.609090909090909
65,0.6171717171717171,0.6171717171717171,0.6171717171717171,0.6171717171717171
66,0.6252525252525253,0.6252525252525253,0.6252525252525253,0.6252525252525253
67,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
68,0.6414141414141414,0.6414141414141414,0.6414141414141414,0.6414141414141414
69,0.6494949494949495,0.6494949494949495,0.6494949494949495,0.6494949494949495
70,0.6575757575757576,0.6575757575757576,0.6575757575757576,0.6575757575757576
71,0.6656565656565656,0.6656565656565656,0.6656565656565656,0.6656565656565656
72,0.6737373737373737,0.6737373737373737,0.6737373737373737,0.6737373737373739
73,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
74,0.6898989898989899,0.6898989898989899,0.6898989898989899,0.6898989898989899
75,0.6979797979797979,0.6979797979797979,0.6979797979797979,0.6979797979797979
76,0.706060606060606,0.706060606060606,0.706060606060606,0.706060606060606
77,0.7141414141414141,0.7141414141414141,0.7141414141414141,0.7141414141414141
78,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
79,0.7303030303030302,0.7303030303030302,0.7303030303030302,0.7303030303030301
80,0.7383838383838384,0.7383838383838384,0.7383838383838384,0.7383838383838383
81,0.7464646464646464,0.7464646464646464,0.7464646464646464,0.7464646464646464
82,0.7545454545454545,0.7545454545454545,0.7545454545454545,0.7545454545454545
83,0.7626262626262627,0.7626262626262627,0.7626262626262627,0.7626262626262627
84,0.7707070707070707,0.7707070707070707,0.7707070707070707,0.7707070707070707
85,0.7787878787878788,0.7787878787878788,0.7787878787878788,0.7787878787878788
86,0.7868686868686868,0.7868686868686868,0.7868686868686868,0.7868686868686868
87,0.794949494949495,0.794949494949495,0.794949494949495,0.794949494949495
88,0.803030303030303,0.803030303030303,0.803030303030303,0.8030303030303031
89,0.8111111111111111,0.8111111111111111,0.8111111111111111,0.8111111111111112
90,0.8191919191919191,0.8191919191919191,0.8191919191919191,0.8191919191919191
91,0.8272727272727273,0.8272727272727273,0.8272727272727273,0.8272727272727273
92,0.8353535353535353,0.8353535353535353,0.8353535353535353,0.8353535353535353
93,0.8434343434343434,0.8434343434343434,0.8434343434343434,0.8434343434343434
94,0.8515151515151514,0.8515151515151514,0.8515151515151514,0.8515151515151514
95,0.8595959595959596,0.8595959595959596,0.8595959595959596,0.8595959595959596
96,0.8676767676767676,0.8676767676767676,0.8676767676767676,0.8676767676767675
97,0.8757575757575757,0.8757575757575757,0.8757575757575757,0.8757575757575756
98,0.8838383838383839,0.8838383838383839,0.8838383838383839,0.8838383838383838
99,0.8919191919191919,0.8919191919191919,0.8919191919191919,0.8919191919191919
100,0.9,0.9,0.9,0.9
