Model,Task difficulty,Total experiments,Succeeded experiments (%),Avg. model work time (ms),Avg. output correctness (%),Avg. prompt size (symbols),Avg. model output size (symbols)
gemini-1.5-flash,1,10,80,0.81,100,563,70.75
gemini-1.5-flash,2,10,70,1.27,100,565,121.57
gemini-1.5-flash,3,10,40,1.69,100,570,217.5
gpt-3.5-turbo,1,10,100,9.07,100,563,71
gpt-3.5-turbo,2,10,100,7.76,100,565,116.7
gpt-3.5-turbo,3,10,91,8.45,100,570,222
gpt-4,1,10,90,10.58,100,563,74.56
gpt-4,2,10,80,7.39,100,565,123.75
gpt-4,3,10,100,8.66,100,570,222.3
mistral-small,1,10,100,1.02,100,563,67
mistral-small,2,10,100,1.26,100,565,105.3
mistral-small,3,10,80,2.24,100,570,196.62
Model,Task difficulty,Total experiments,Succeeded experiments (%),Avg. model work time (ms),Avg. output correctness (%),Avg. prompt size (symbols),Avg. model output size (symbols)
Total experiments per difficulty level,1,40,92.5,5.37,100,563,70.73
Total experiments per difficulty level,2,40,87.5,4.42,100,565,116.03
Total experiments per difficulty level,3,40,78.05,5.34,100,570,215.19
TOTAL,,120,85.95,5.04,100,566.03,130.42
