Time,Safety_Criterion,Risk_Score_Component_1,Risk_Score_Component_2,Risk_Score_Component_3,Risk_Score_Component_4,Risk_Score_Component_5
0,0.0,0.467187406673939,0.5515301327477216,0.2535970172516934,0.27759510603340937,0.415843463971414
1,0.6426442090035178,0.4203375096852181,0.5316109805988162,0.20761675824688236,0.2609834654771463,0.36623024097434764
2,0.6686246270172908,0.3872879472747649,0.5094056554958887,0.18941090649497636,0.22471301152669165,0.346059344121225
3,0.6991071953661525,0.3736885366530324,0.4750431722553359,0.1632013717052152,0.18078287984169034,0.31174806271396377
4,0.7270688813820163,0.3501263368625011,0.456538455499084,0.14712152909634874,0.14498663814359555,0.26588263348838925
5,0.7638082382950618,0.316865535537985,0.4068390983911331,0.10757649675773887,0.1040461472113973,0.2456315306264364
6,0.7953889904963436,0.2808358421432704,0.3656196928312693,0.08108321617658402,0.07827794364065208,0.2172383527265062
7,0.8315158306033902,0.23700269000607982,0.31877816599219794,0.06420911095633311,0.02936671470434911,0.193064165324089
8,0.859678015882163,0.21681204442716978,0.2704378135415061,0.03063977850642073,0.0060950588412144666,0.1776252252728742
9,0.8899923763967623,0.16810576366165153,0.22418083803368244,0.0,0.0,0.15775151632085432
10,0.907456329971664,0.11977308731096098,0.19978268510344716,0.0,0.0,0.1431625777272718
11,0.9206886238366256,0.09984228825579405,0.1643911572516113,0.0,0.0,0.1323234353094663
12,0.9416213948371063,0.050600308909564254,0.11964402074590547,0.0,0.0,0.12164869615899868
13,0.9540998599570815,0.029037461388796156,0.0954894079417283,0.0,0.0,0.10497383088406848
14,0.9706689909491106,0.0,0.06048795609422036,0.0,0.0,0.08616708916022661
15,0.9805612035411926,0.0,0.04553837987011534,0.0,0.0,0.051655602423921684
16,0.9909990012908825,0.0,0.033432999925573054,0.0,0.0,0.011571993620014522
17,0.9956174549197698,0.0,0.021912725401150697,0.0,0.0,0.0
18,0.9981765583415209,0.0,0.00911720829239568,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0,0.0,0.0
